scenario	stage	trigger	next_action	reply_text
opening	lead	新客户第一次咨询	确认服务和材料	你好，我是 Codex for Researchers。现在有 3 个低价科研工作流：1.99 元论文精读、3.99 元引用审计、5.99 元复现包审计。你想做哪一项？付款后请发付款截图、材料、输出语言和用途。
scope_check	lead	客户材料不清楚	要求补充最小材料	可以，我先确认一下范围。请发：服务类型、论文链接/摘要/段落/claim 列表/项目说明、希望中文/英文/中英双语、用途。低价单只做最小范围，不做完整代写或无限扩展。
payment_received	paid_waiting_materials	客户已付款	确认材料完整性	收到付款截图。我先确认材料范围，然后开始处理。正常 24-72 小时内交付 Markdown 结果。如果材料超出当前低价单范围，我会先和你确认是否缩小范围或单独报价。
too_broad	lead	材料范围过大	建议缩小范围或单独报价	这份材料超过当前低价单范围。可以先选一个最小切口：一篇论文、一段 300-800 字文字，或一个 repo 的 README/目录结构。完整稿件或完整项目审计需要单独报价。
privacy_sensitive	lead	客户想发未脱敏敏感材料	要求脱敏或拒绝	不建议直接发送敏感隐私数据、未公开数据或完整保密稿件。你可以先脱敏，或只发摘要、片段、目录结构和非敏感说明。无法脱敏的内容我不接。
not_allowed	lead	客户要求代写/伪造/保证发表	拒绝并可退款	这个需求我不能做：不代写论文，不伪造引用或数据，也不保证发表。如果你需要的是阅读、整理、引用风险提示或复现材料检查，我可以按合规范围继续；否则这单不接。
delivery_sent	delivered	已发送结果	请求确认和反馈	结果已整理好。里面标了输入范围、风险点、需要人工核对的位置和下一步建议。你先看一下是否解决当前问题；启动价包含一次澄清回复，不包含无限改写或扩展范围。
star_request	closed	客户认可交付	请求 star 或转介绍	如果这个结果对你有帮助，欢迎给 GitHub 项目点一个 star，或转发给需要读论文、查引用、做复现检查的朋友。项目地址：https://github.com/DannyJay2025/codex-for-researchers
upsell_paper	closed	论文精读后客户认可	推荐 10 篇小包	如果这次结果对你有帮助，后面可以做 10 篇论文快速精读包，19.9 元。适合组会、开题或先搭文献地图。不用现在决定，确认这次交付有用后再说。
upsell_citation	closed	引用审计后客户认可	推荐一节正文审计	如果这次 claim 检查对你有帮助，下一步可以做一节 manuscript 引用审计，39.9 元。范围是一节正文，不做系统综述，但会帮你标出高风险表述和需要核对的位置。
upsell_repro	closed	复现审计后客户认可	推荐完整复现审计	如果你准备正式整理代码和数据发布，可以做完整复现准备度审计，99 元。范围是一个项目包，交付 repo 清单、阻塞点、README/环境/数据建议和可用性声明草稿。
